Event.ID,lon,lat,ID
230,120.8310249,-4.043675125,BA055
231,119.8180231,-0.186229994,BA055
232,118.5163461,-4.985136989,BA055
233,119.8779913,-9.710421044,BA055
234,122.8030379,0.818516686,BA055
235,121.6518256,5.060969138,BA055
236,118.6182231,-5.844967528,BA055
237,118.4645902,-5.248386947,BA055
238,119.1597887,-2.79481698,BA055
239,118.7162567,-1.224611968,BA055
240,118.3444905,-2.473952307,BA055
241,118.2652203,-2.171398454,BA055
242,118.4368765,-1.563716917,BA055
243,119.9968042,-6.647381507,BA055
244,119.2973681,-8.781053916,BA055
245,119.0549879,-7.942996119,BA055
246,119.3968688,-6.803591532,BA055
247,118.4125831,-3.649304441,BA055
248,118.3833586,-3.699896758,BA055
249,119.5715464,-7.313016449,BA055
250,119.3212167,-7.993918723,BA055
251,118.8946499,-6.649809749,BA055
252,118.6606989,-7.281700902,BA055
253,118.7004688,-7.332754077,BA055
254,119.7202648,-4.261409298,BA055
255,119.7180758,-4.212890033,BA055
256,119.037746,-6.157151652,BA055
257,118.697795,-5.121546085,BA055
258,118.440037,-5.815060719,BA055
259,119.2558841,-8.061247772,BA055
260,119.1769582,-8.215526063,BA055
261,118.7634715,-7.010453543,BA055
262,120.6276913,-1.71334303,BA055
263,121.051255,-2.8923849,BA055
264,120.2259247,-5.161071741,BA055
265,120.2804392,-5.26885604,BA055
266,119.3693638,-7.683830382,BA055
267,118.8736023,-6.305733498,BA055
268,118.3246045,-7.715117138,BA055
269,117.1806629,-4.625501574,BA055
270,117.5102843,-3.707310576,BA055
271,118.4634825,-6.201812914,BA055
272,118.7218557,-5.483451053,BA055
273,119.4267338,-7.270883446,BA055
274,119.3118116,-7.517781502,BA055
275,119.7225257,-8.508200469,BA055
276,120.2319988,-7.175530422,BA055
277,119.3716514,-4.945048833,BA055
278,119.4098769,-4.815400921,BA055
279,120.5694095,-7.697312925,BA055
280,120.4467135,-7.956581075,BA055
281,120.6538049,-8.419664436,BA055
282,121.1803836,-7.087395533,BA055
283,120.4745953,-5.308019022,BA055
284,121.4025385,-2.964849141,BA055
285,122.5144347,-5.701401422,BA055
286,121.958747,-7.022163178,BA055
287,121.2016764,-5.15010515,BA055
288,120.9368944,-5.766326103,BA055
289,120.7227292,-5.219820845,BA055
290,121.4298722,-3.476729415,BA055
291,120.3276877,-0.75530982,BA055
292,119.9655758,-1.635551116,BA055
293,119.9935395,-1.692312883,BA055
294,119.2786146,-3.411008063,BA055
295,121.2718357,-8.098212372,BA055
296,122.1534994,-6.014211587,BA055
297,119.8012044,-0.379108202,BA055
298,122.2377199,5.558805863,BA055
299,124.2790372,0.5858071,BA055
300,120.4663904,-8.371470644,BA055
301,120.7322016,-8.945426826,BA055
302,120.4529028,-9.544082058,BA055
303,119.9241335,-8.329706893,BA055
304,120.3789273,-7.276949672,BA055
305,121.1340545,-8.954554944,BA055
306,120.6858832,-9.923789902,BA055
307,120.4088914,-9.287480415,BA055
308,120.80507,-8.385711088,BA055
309,120.093639,-6.771589064,BA055
310,121.7631237,-2.942148003,BA055
311,122.1167114,-3.748092271,BA055
312,121.1107105,-6.028189352,BA055
313,120.8527064,-5.432775153,BA055
314,120.3951255,-6.451815478,BA055
315,119.6275218,-4.709789912,BA055
316,120.4847017,-2.747091463,BA055
317,121.2088526,-4.39158613,BA055
318,120.6878686,-5.559173762,BA055
319,121.5728929,-7.521038665,BA055
320,121.4314291,-7.823431969,BA055
321,120.7570091,-6.323164917,BA055
322,120.524322,-6.832932571,BA055
323,120.6500127,-7.104483125,BA055
324,120.8466901,-6.664187389,BA055
325,120.3999719,-5.66698513,BA055
326,120.7427072,-4.897332818,BA055
327,120.1525329,-3.566255798,BA055
328,119.8290363,-4.294291616,BA055
329,119.9325487,-4.525794704,BA055
330,120.0861087,-4.179978437,BA055
331,119.0734439,-1.884831584,BA055
332,118.8147139,-2.474435115,BA055
333,120.3907762,-6.02054722,BA055
334,119.9425265,-7.014914141,BA055
335,120.910432,-9.132484618,BA055
336,121.4805108,-7.896308636,BA055
337,120.6697592,-6.111604688,BA055
338,120.2212983,-7.110558277,BA055
339,120.3059006,-7.303576383,BA055
340,121.6295414,-4.354957987,BA055
341,121.1536781,-3.281508476,BA055
342,122.1375784,-1.032106399,BA055
343,122.0841786,-0.911882569,BA055
344,119.9708676,-5.734443704,BA055
345,120.6397653,-7.238443552,BA055
346,120.6399075,-7.250257934,BA055
347,120.1566673,-6.182306592,BA055
348,120.7311403,-4.895521417,BA055
349,120.6160167,-4.644131707,BA055
350,120.9400318,-3.913387078,BA055
351,120.1058192,-1.994748362,BA055
352,120.7707838,-0.447200163,BA055
353,121.9623546,-3.234239548,BA055
354,120.8126531,-5.89240183,BA055
355,120.4623587,-5.105750756,BA055
356,120.9822171,-3.917974336,BA055
357,121.4913028,-5.112525268,BA055
358,121.5271888,-5.046211448,BA055
