,X,Twilight,Rise,Deleted,Marker,Inserted,Twilight3,Marker3
153,153,22/09/2016 10:21,FALSE,FALSE,0,FALSE,22/09/2016 10:21,0
154,154,22/09/2016 21:30,TRUE,FALSE,0,FALSE,22/09/2016 21:30,0
155,155,23/09/2016 10:20,FALSE,FALSE,0,FALSE,23/09/2016 10:20,0
156,156,23/09/2016 21:39,TRUE,FALSE,0,FALSE,23/09/2016 21:39,0
157,157,24/09/2016 10:11,FALSE,FALSE,0,FALSE,24/09/2016 10:11,0
158,158,24/09/2016 21:56,TRUE,FALSE,0,FALSE,24/09/2016 21:56,0
159,159,25/09/2016 10:14,FALSE,FALSE,0,FALSE,25/09/2016 10:14,0
160,160,25/09/2016 21:34,TRUE,FALSE,0,FALSE,25/09/2016 21:34,0
161,161,26/09/2016 10:12,FALSE,FALSE,0,FALSE,26/09/2016 10:12,0
162,162,26/09/2016 21:28,TRUE,FALSE,0,FALSE,26/09/2016 21:28,0
163,163,27/09/2016 10:14,FALSE,FALSE,0,FALSE,27/09/2016 10:14,0
164,164,27/09/2016 21:27,TRUE,FALSE,0,FALSE,27/09/2016 21:27,0
165,165,28/09/2016 10:13,FALSE,FALSE,0,FALSE,28/09/2016 10:13,0
166,166,28/09/2016 21:33,TRUE,FALSE,0,FALSE,28/09/2016 21:33,0
167,167,29/09/2016 10:13,FALSE,FALSE,0,FALSE,29/09/2016 10:13,0
168,168,29/09/2016 21:33,TRUE,FALSE,0,FALSE,29/09/2016 21:33,0
169,169,30/09/2016 10:18,FALSE,FALSE,0,FALSE,30/09/2016 10:18,0
170,170,30/09/2016 21:41,TRUE,FALSE,0,FALSE,30/09/2016 21:41,0
171,171,01/10/2016 10:19,FALSE,FALSE,0,FALSE,01/10/2016 10:19,0
172,172,01/10/2016 21:33,TRUE,FALSE,0,FALSE,01/10/2016 21:33,0
173,173,02/10/2016 10:26,FALSE,FALSE,0,FALSE,02/10/2016 10:26,0
174,174,02/10/2016 21:32,TRUE,FALSE,0,FALSE,02/10/2016 21:32,0
175,175,03/10/2016 10:23,FALSE,FALSE,0,FALSE,03/10/2016 10:23,0
176,176,03/10/2016 21:42,TRUE,FALSE,0,FALSE,03/10/2016 21:42,0
177,177,04/10/2016 10:22,FALSE,FALSE,0,FALSE,04/10/2016 10:22,0
178,178,04/10/2016 21:34,TRUE,FALSE,0,FALSE,04/10/2016 21:34,0
179,179,05/10/2016 10:19,FALSE,FALSE,0,FALSE,05/10/2016 10:19,0
180,180,05/10/2016 21:35,TRUE,FALSE,0,FALSE,05/10/2016 21:35,0
181,181,06/10/2016 10:21,FALSE,FALSE,0,FALSE,06/10/2016 10:21,0
182,182,06/10/2016 21:35,TRUE,FALSE,0,FALSE,06/10/2016 21:35,0
183,183,07/10/2016 10:18,FALSE,FALSE,0,FALSE,07/10/2016 10:18,0
184,184,07/10/2016 21:36,TRUE,FALSE,0,FALSE,07/10/2016 21:36,0
185,185,08/10/2016 10:16,FALSE,FALSE,0,FALSE,08/10/2016 10:16,0
186,186,08/10/2016 21:31,TRUE,FALSE,0,FALSE,08/10/2016 21:31,0
187,187,09/10/2016 09:43,FALSE,FALSE,0,FALSE,09/10/2016 09:43,0
188,188,09/10/2016 21:32,TRUE,FALSE,0,FALSE,09/10/2016 21:32,0
189,189,10/10/2016 10:17,FALSE,FALSE,0,FALSE,10/10/2016 10:17,0
190,190,10/10/2016 21:33,TRUE,FALSE,0,FALSE,10/10/2016 21:33,0
191,191,11/10/2016 10:24,FALSE,FALSE,0,FALSE,11/10/2016 10:24,0
192,192,11/10/2016 21:54,TRUE,FALSE,0,FALSE,11/10/2016 21:54,0
193,193,12/10/2016 10:18,FALSE,FALSE,0,FALSE,12/10/2016 10:18,0
194,194,12/10/2016 21:31,TRUE,FALSE,0,FALSE,12/10/2016 21:31,0
195,195,13/10/2016 10:18,FALSE,FALSE,0,FALSE,13/10/2016 10:18,0
196,196,13/10/2016 21:53,TRUE,FALSE,0,FALSE,13/10/2016 21:53,0
197,197,14/10/2016 10:19,FALSE,FALSE,0,FALSE,14/10/2016 10:19,0
198,198,14/10/2016 21:35,TRUE,FALSE,0,FALSE,14/10/2016 21:35,0
199,199,15/10/2016 10:09,FALSE,FALSE,0,FALSE,15/10/2016 10:09,0
200,200,15/10/2016 21:35,TRUE,FALSE,0,FALSE,15/10/2016 21:35,0
201,201,16/10/2016 10:19,FALSE,FALSE,0,FALSE,16/10/2016 10:19,0
202,202,16/10/2016 21:33,TRUE,FALSE,0,FALSE,16/10/2016 21:33,0
203,203,17/10/2016 10:16,FALSE,FALSE,0,FALSE,17/10/2016 10:16,0
204,204,17/10/2016 21:36,TRUE,FALSE,0,FALSE,17/10/2016 21:36,0
205,205,18/10/2016 10:15,FALSE,FALSE,0,FALSE,18/10/2016 10:15,0
206,206,18/10/2016 21:30,TRUE,FALSE,0,FALSE,18/10/2016 21:30,0
207,207,19/10/2016 10:13,FALSE,FALSE,0,FALSE,19/10/2016 10:13,0
208,208,19/10/2016 21:29,TRUE,FALSE,0,FALSE,19/10/2016 21:29,0
209,209,20/10/2016 10:11,FALSE,FALSE,0,FALSE,20/10/2016 10:11,0
210,210,20/10/2016 21:33,TRUE,FALSE,0,FALSE,20/10/2016 21:33,0
211,211,21/10/2016 10:20,FALSE,FALSE,0,FALSE,21/10/2016 10:20,0
212,212,21/10/2016 21:39,TRUE,FALSE,0,FALSE,21/10/2016 21:39,0
213,213,22/10/2016 10:12,FALSE,FALSE,0,FALSE,22/10/2016 10:12,0
214,214,22/10/2016 21:30,TRUE,FALSE,0,FALSE,22/10/2016 21:30,0
215,215,23/10/2016 10:10,FALSE,FALSE,0,FALSE,23/10/2016 10:10,0
216,216,23/10/2016 21:38,TRUE,FALSE,0,FALSE,23/10/2016 21:38,0
217,217,24/10/2016 10:03,FALSE,FALSE,0,FALSE,24/10/2016 10:03,0
218,218,24/10/2016 21:37,TRUE,FALSE,0,FALSE,24/10/2016 21:37,0
219,219,25/10/2016 10:12,FALSE,FALSE,0,FALSE,25/10/2016 10:12,0
220,220,25/10/2016 21:41,TRUE,FALSE,0,FALSE,25/10/2016 21:41,0
221,221,26/10/2016 10:13,FALSE,FALSE,0,FALSE,26/10/2016 10:13,0
222,222,26/10/2016 21:23,TRUE,FALSE,0,FALSE,26/10/2016 21:23,0
223,223,27/10/2016 09:36,FALSE,FALSE,0,FALSE,27/10/2016 09:36,0
224,224,27/10/2016 21:30,TRUE,FALSE,0,FALSE,27/10/2016 21:30,0
225,225,28/10/2016 10:02,FALSE,FALSE,0,FALSE,28/10/2016 10:02,0
226,226,28/10/2016 21:35,TRUE,FALSE,0,FALSE,28/10/2016 21:35,0
227,227,29/10/2016 09:53,FALSE,FALSE,0,FALSE,29/10/2016 09:53,0
228,228,29/10/2016 21:26,TRUE,FALSE,0,FALSE,29/10/2016 21:26,0
229,229,30/10/2016 10:11,FALSE,FALSE,0,FALSE,30/10/2016 10:11,0
230,230,30/10/2016 21:23,TRUE,FALSE,0,FALSE,30/10/2016 21:23,0
